frame,timestamp,hip_angle,knee_angle,elbow_angle
533,17.7295,26.4305,41.6124,169.5868
534,17.7628,28.3188,46.3522,170.8585
535,17.7961,31.1192,50.8717,172.6318
536,17.8294,34.2349,55.027,177.0236
537,17.8628,38.6291,58.3506,176.7834
538,17.8961,42.1846,61.7051,178.4155
539,17.9294,45.0683,64.4203,179.1679
540,17.9628,49.7106,70.2436,177.9235
541,17.9961,57.4043,80.5771,178.0142
542,18.0294,62.6761,84.9589,177.1699
543,18.0627,70.6083,90.6444,176.7708
544,18.0961,79.0415,96.3585,176.3504
545,18.1294,89.1577,105.6514,174.943
546,18.1627,100.1299,114.9305,174.0428
547,18.196,111.2853,123.0769,177.1489
548,18.2294,123.3007,132.6913,178.3247
549,18.2627,133.79,143.9059,178.692
550,18.296,144.7588,153.1386,179.9958
551,18.3293,153.0025,160.2006,178.6772
552,18.3627,158.9661,164.354,179.9475
553,18.396,163.5816,168.5293,179.6701
554,18.4293,167.5938,173.8385,179.1727
555,18.4626,171.1163,176.3211,179.1402
556,18.496,173.8858,179.4721,179.7971
557,18.5293,176.5385,179.4073,179.3824
558,18.5626,178.2532,177.7459,179.4835
559,18.5959,179.4907,176.1679,179.9694
560,18.6293,178.1698,175.1356,179.935
561,18.6626,178.7996,176.997,179.648
562,18.6959,178.1858,177.5756,179.9891
563,18.7293,178.426,178.0682,179.6849
564,18.7626,178.4939,178.2353,179.6199
565,18.7959,178.288,178.3863,179.6217
566,18.8292,177.7413,178.052,179.7565
567,18.8626,177.7513,178.0389,179.9378
568,18.8959,177.1717,177.5005,179.5218
569,18.9292,177.2676,177.1917,179.5833
570,18.9625,177.307,177.1947,179.5599
571,18.9959,177.2988,177.0553,179.7602
572,19.0292,176.9487,176.9067,179.5495
573,19.0625,176.6382,177.5344,179.6169
574,19.0958,176.6494,177.7263,179.8283
575,19.1292,176.9853,178.0531,179.3406
576,19.1625,177.2747,178.3278,179.5068
577,19.1958,177.2232,178.3536,179.6076
578,19.2291,177.3308,178.4568,179.6344
579,19.2625,177.2586,178.1186,179.5734
580,19.2958,176.7424,177.1487,179.5798
581,19.3291,176.4281,177.3054,179.5896
582,19.3624,176.2522,177.4299,179.7081
583,19.3958,176.0904,177.5133,179.766
584,19.4291,175.8747,177.5224,179.9123
585,19.4624,175.6929,177.5561,179.8602
586,19.4958,175.6848,177.5803,179.7893
587,19.5291,175.952,178.4913,179.4499
588,19.5624,176.0586,178.6661,179.2962
589,19.5957,175.8319,178.3807,179.1714
590,19.6291,175.5534,178.3211,179.1137
591,19.6624,175.3012,178.092,179.0558
592,19.6957,175.1101,177.8976,179.0063
593,19.729,174.6874,177.8884,178.8127
594,19.7624,174.458,178.1457,179.0306
595,19.7957,174.2868,178.2248,178.9867
596,19.829,174.4391,178.6901,178.859
597,19.8623,174.1735,178.1426,178.7556
598,19.8957,174.7054,178.8339,178.8788
599,19.929,174.7926,179.0783,178.7025
600,19.9623,174.594,179.2378,178.8325
601,19.9956,174.2901,179.203,178.9226
602,20.029,173.8988,179.0206,179.0394
603,20.0623,173.6124,178.4763,178.931
604,20.0956,173.4471,178.1847,178.8574
605,20.1289,173.3286,178.0871,178.8802
606,20.1623,173.4122,178.0284,178.9129
607,20.1956,173.4132,178.1008,178.8852
608,20.2289,173.33,177.9351,178.9441
609,20.2622,173.2227,177.7003,178.9121
610,20.2956,173.3279,177.9388,178.87
611,20.3289,173.1452,177.9503,178.7746
612,20.3622,173.2159,178.1775,178.8214
613,20.3956,173.0171,178.1011,178.7996
614,20.4289,172.943,177.7979,178.7802
615,20.4622,172.9605,177.8469,178.7818
616,20.4955,172.6536,177.8784,178.7784
617,20.5289,172.6086,177.911,178.7195
618,20.5622,172.5769,178.2591,178.644
619,20.5955,172.7394,178.3452,178.6628
620,20.6288,172.858,178.7903,178.8317
621,20.6622,173.0162,178.9654,178.8638
622,20.6955,173.0761,178.9535,178.9772
623,20.7288,172.6318,178.8402,179.0853
624,20.7621,172.6902,178.8533,179.171
625,20.7955,172.4289,178.7105,179.1466
626,20.8288,172.2441,178.7535,179.2468
627,20.8621,171.8534,178.8645,179.1891
628,20.8954,171.3871,178.8914,179.2072
629,20.9288,171.1069,178.937,179.2218
630,20.9621,171.3139,179.28,179.1522
631,20.9954,171.3508,179.3356,179.3299
632,21.0287,171.6,179.8901,179.3885
633,21.0621,171.5385,179.9104,179.4468
634,21.0954,171.368,179.9584,179.3714
635,21.1287,171.3089,179.9392,179.3379
636,21.1621,170.9942,179.7435,179.389
637,21.1954,170.1226,179.5485,179.4318
638,21.2287,169.9858,179.6145,179.464
639,21.262,169.6529,179.0959,179.36
640,21.2954,169.5827,179.113,179.3819
641,21.3287,169.6644,179.2,179.3418
642,21.362,169.6944,179.2556,179.348
643,21.3953,170.013,179.4522,179.3052
644,21.4287,170.3136,179.3826,179.3192
645,21.462,170.5476,179.5033,179.3256
